dataset,model,n_total,n_test,pcr_rate,auc,pr_auc,accuracy,precision,recall,f1,tn,fp,fn,tp,n_features_raw
Duke_TNBC,Clinical only,78,20,0.2948717948717949,0.5714285714285715,0.3681457431457431,0.65,0.42857142857142855,0.5,0.46153846153846156,10,4,3,3,10
Duke_TNBC,MRI only,78,20,0.2948717948717949,0.6904761904761905,0.5363756613756614,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,10,4,4,2,529
Duke_TNBC,Clinical + MRI,78,20,0.2948717948717949,0.7738095238095237,0.6,0.7,0.5,0.6666666666666666,0.5714285714285714,10,4,2,4,539
ISPY2_ACRIN6698_TNBC,Clinical only,132,33,0.3787878787878788,0.42460317460317465,0.36381703215024513,0.45454545454545453,0.2,0.16666666666666666,0.18181818181818182,13,8,10,2,5
ISPY2_ACRIN6698_TNBC,MRI only,132,33,0.3787878787878788,0.753968253968254,0.6763820871157828,0.6363636363636364,0.5,0.75,0.6,12,9,3,9,28
ISPY2_ACRIN6698_TNBC,Clinical + MRI,132,33,0.3787878787878788,0.7777777777777777,0.7467697020328599,0.6363636363636364,0.5,0.75,0.6,12,9,3,9,33
